年份,品种,平坝山脚初花期,平坝山脚盛花期,山腰初花期,山腰盛花期,山顶初花期,山顶盛花期
2011,传统型桃花,3月17日,3月25日,3月21日,3月30日,3月27日,4月3日
2012,传统型桃花,3月22日,3月27日,3月24日,3月30日,3月30日,4月8日
2013,传统型桃花,2月21日,3月3日,2月25日,3月6日,3月4日,3月13日
2014,传统型桃花,3月20日,3月23日,3月21日,3月25日,3月25日,3月30日
2015,传统型桃花,3月10日,3月17日,3月13日,3月20日,3月17日,3月23日
2016,传统型桃花,3月11日,3月17日,3月15日,3月19日,3月18日,3月20日
2017,传统型桃花,3月14日,3月25日,3月22日,3月28日,3月28日,4月4日
2018,传统型桃花,3月8日,3月14日,3月10日,3月15日,3月14日,3月17日
2019,传统型桃花,3月8日,3月16日,3月13日,3月19日,3月19日,3月23日
2020,传统型桃花,3月7日,3月12日,3月10日,3月17日,3月17日,3月22日
2021,传统型桃花,2月23日,2月27日,2月25日,3月3日,3月4日,3月11日
2022,传统型桃花,2月24日,3月3日,3月1日,3月10日,3月10日,3月14日
2023,传统型桃花,3月4日,3月11日,3月9日,3月15日,3月14日,3月18日
2024,传统型桃花,2月28日,3月14日,3月11日,3月17日,3月16日,3月20日
2025,传统型桃花,3月4日,3月11日,3月10日,3月17日,3月16日,3月22日
2026,传统型桃花,2月28日,3月7日,3月5日,NaN,NaN,NaN
